Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.050150439,2284988,150197663,3017682,974472,110987407,68295
     0.100330145,3089130,168875210,4231167,1174656,139495145,145604
     0.150493555,2997825,200422478,3965291,1105458,139645103,79629
     0.200651045,3013638,195935174,3874327,1089476,139318763,94355
     0.250768531,1958577,255430170,2248033,573039,139912798,114388
     0.300940526,2083237,189522024,2832021,557147,134704768,365868
     0.351066366,1425496,235358343,1583746,362890,139038776,113937
     0.401215383,1590672,221027353,1942919,331823,140089288,176536
     0.451381356,2362749,250560429,3267609,854590,138379808,133992
     0.501555579,2338432,267066283,2977968,898484,141982886,61924
     0.551733189,3081311,177423148,4514875,858984,137484755,648811
     0.587598963,2291845,54793457,3541166,599126,70091795,524309
