Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.050107973,1704593,173794882,3053292,1450205,140551990,24414
     0.100303336,2415369,183627241,3912370,1143445,164844025,119853
     0.150453564,8431822,350895248,11768842,2788057,458750015,450211
     0.200610113,10819035,484157049,12730280,3286133,555564027,459595
     0.250781462,11257219,405099974,14760588,3105831,542738050,723046
     0.300936061,11330531,505975107,13067149,3028055,555245330,362006
     0.351084273,12007325,467821487,14720699,3311962,555888158,479233
     0.401245695,12221867,448970845,14326609,3021115,555965854,623380
     0.451410153,7304673,561915341,7616442,1968101,558303865,280418
     0.501564024,6715602,574428856,7526634,1574603,560963316,574448
     0.551733369,7447913,409797217,9779310,1729387,538299888,1458652
     0.601904293,5431431,546465925,4746804,1139820,549991683,313736
     0.652070887,5255792,561603022,4439047,1139490,557927156,347726
     0.702227972,5343209,554484272,4633024,1097277,559467981,415585
     0.752398975,6157561,535015143,6119799,1026020,559304412,560521
     0.802562708,9756222,550653827,10276984,2011854,557548527,646603
     0.852718113,9854619,578692567,9088369,2257888,549490714,342015
     0.903076325,10827027,596359053,9915911,2259645,561786804,332058
     0.953226742,10797789,607321375,9857700,2455460,577701956,338108
     1.003412932,10570713,471093181,11995617,2320633,569136303,1454021
     1.053612611,8872706,160137281,13343954,2216286,383996907,2409395
     1.103776049,5757550,146924172,8786804,1211779,248496883,1340157
